uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
1,55cb79e0fdf99b3c26ae4bca,bronville,2,5,1,at,left,4_5,4176,46,955,1,asking,0,90,147.29848706238238,1.718926329321981,8.528948467592945,2.4743972504579332,4.193323579779914,-0.27380732844801514,1.4451190008739658,0.5954870599988499,121.5574158589669,0.7132266452424845,31.557415858966895,0.6950727655413036,5.110179488433428,5.2036920487264355,rising,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,6.86171134048073
2,55cb79e0fdf99b3c26ae4bca,grandma,5,4,1,at,left,1_4,4357,28,1006,2,asking,0,120,124.05699442806409,0.3553996106387345,0.5756240632507219,3.2754239691411797,3.630823579779914,0.5272193902352313,0.8826190008739658,0.5771617064916069,96.0389232911482,0.5519072802386883,6.038923291148194,0.5233352255243479,0.9437755950460399,1.1243307349797043,rising,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,6.913737350659685
3,55cb79e0fdf99b3c26ae4bca,greenview,3,2,1,at,right,3_2,3622,68,839,3,telling,1,100,81.1346582583131,-0.24238099912603417,-3.6193172800569147,2.7482045789059484,2.505823579779914,0,-0.24238099912603417,0.5021782084844789,86.31352582031077,0.4602374940951721,-3.6864741796892173,0.45329212965769716,-0.7617267900239023,-0.7240601496679602,falling,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,6.732210706467206
4,55cb79e0fdf99b3c26ae4bca,broadway,5,5,1,at,left,1_5,4797,24,549,4,asking,0,120,147.29848706238238,0.9178996106387345,3.548498476246821,3.2754239691411797,4.193323579779914,0.5272193902352313,1.4451190008739658,0.5647572757719052,107.40945033310636,0.6321152224817186,17.409450333106367,0.5941331797125896,2.723265883766968,3.0614883204276317,rising,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,6.3080984415095305
5,55cb79e0fdf99b3c26ae4bca,branning,3,1,1,at,right,3_1,3701,58,503,5,telling,1,100,61.325523908511215,-0.8048809991260342,-8.465285292009813,2.7482045789059484,1.9433235797799142,0,-0.8048809991260342,0.4621697099430765,73.14335150288876,0.6682468002770461,-16.856648497111237,0.684728325284423,-3.940782106906222,-3.590379209901471,falling,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,6.220590170099739
6,55cb79e0fdf99b3c26ae4bca,broadway,1,4,1,at,left,5_4,4994,6,1233,6,asking,0,80,124.05699442806409,1.4375,7.595174071904597,2.193323579779914,3.630823579779914,-0.5548809991260342,0.8826190008739658,0.5183927347939705,120.6444738640262,0.5811809300491702,30.644473864026192,0.5746273405914467,5.122459782589348,5.073179132115204,rising,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,7.117205503164344
7,55cb79e0fdf99b3c26ae4bca,bronville,3,5,1,at,left,3_5,3324,4,488,7,asking,0,100,147.29848706238238,1.4451190008739658,6.704911346252346,2.7482045789059484,4.193323579779914,0,1.4451190008739658,0.5997912778947225,116.0286270034081,0.7403213779294724,26.02862700340811,0.718628265962426,4.241044732395053,4.397806675980223,rising,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,6.1903154058531475
8,55cb79e0fdf99b3c26ae4bca,branning,1,2,1,at,right,5_2,3411,40,559,8,telling,1,80,81.1346582583131,0.3125,0.24381985859143213,2.193323579779914,2.505823579779914,-0.5548809991260342,-0.24238099912603417,0.47841294248496186,92.09552085451337,0.4743454189819348,2.0955208545133717,0.4844775244614646,0.196432066082446,0.39847187828025854,rising,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,6.326149473155099
9,55cb79e0fdf99b3c26ae4bca,grandma,3,4,1,at,left,3_4,3215,22,398,9,asking,0,100,124.05699442806409,0.8826190008739658,3.7320369332562473,2.7482045789059484,3.630823579779914,0,0.8826190008739658,0.5702335114529566,107.23497778703297,0.6577285766603097,17.234977787032967,0.634675166526246,2.980908237503705,3.03334383220972,rising,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,5.986452005284438
10,55cb79e0fdf99b3c26ae4bca,greenview,1,1,1,at,right,5_1,4067,58,425,10,telling,1,80,61.325523908511215,-0.25,-4.602148153361464,2.193323579779914,1.9433235797799142,-0.5548809991260342,-0.8048809991260342,0.46632998058123254,80.43326547295365,0.5897228302188031,-9.566734527046355,0.6125723143075991,-2.6018459346248597,-1.9455925068337587,falling,170,45,Female,Yes,NA,Yes,"Flute, 3 years",No,NA,0,7,10,60,6.052089168924417
