uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,lowtarget,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
11,55bb9ae7fdf99b26d27fda01,branning,2,2,1,at,right,2_2,4593,18,820,11,telling,1,120,81.1346582583131,-1.0236524517075551,0.24381985859143213,2.4743972504579332,2.505823579779914,-0.27380732844801514,-0.24238099912603417,81.1346582583131,0.49175406879784267,90.41522511613739,0.45464479310363803,0.4152251161373946,0.45536109711482037,-0.07910155267430671,0.07968874332553474,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.709304340258298
12,55bb9ae7fdf99b26d27fda01,broadway,4,5,1,at,left,4_5,4116,66,318,12,asking,0,120,147.29848706238238,0.6638475482924449,6.704911346252346,3.0151029340302955,4.193323579779914,0.2668983551243471,1.4451190008739658,NA,0.6108471858439679,119.77270372527836,0.6723485174402032,29.772703725278348,0.6403861461440277,4.604927745390634,4.94762697506589,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.762051382780177
13,55bb9ae7fdf99b26d27fda01,grandma,5,3,1,at,right,5_3,3491,28,410,13,telling,1,120,102.02442198493041,-0.46115245170755514,-1.3030678399057682,3.2754239691411797,3.068323579779914,0.5272193902352313,0.32011900087396583,102.02442198493041,0.5723677661312409,96.87609497651918,0.5015094020525316,6.876094976519181,0.48302212724998383,1.1294320954485475,1.2745885259748158,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.016157159698354
14,55bb9ae7fdf99b26d27fda01,bronville,2,3,1,at,right,2_3,4768,20,660,14,telling,1,120,102.02442198493041,-0.46115245170755514,4.210111583741802,2.4743972504579332,3.068323579779914,-0.27380732844801514,0.32011900087396583,102.02442198493041,0.5606615799870712,103.78762961050718,0.5374266626268884,13.787629610507176,0.5319985248291597,2.471173592306765,2.4676511204760248,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.492239835020471
15,55bb9ae7fdf99b26d27fda01,greenview,4,2,1,at,right,4_2,4915,8,424,15,telling,1,120,81.1346582583131,-1.0236524517075551,-3.6193172800569147,3.0151029340302955,2.505823579779914,0.2668983551243471,-0.24238099912603417,81.1346582583131,0.5148539350963236,86.45392390302662,0.4275991334204838,-3.5460760969733687,0.4156424121119256,-0.8192312116078178,-0.6959226741057984,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.049733455231958
16,55bb9ae7fdf99b26d27fda01,branning,4,3,1,at,right,4_3,3701,16,285,16,telling,1,120,102.02442198493041,-0.46115245170755514,0.34697444509345005,3.0151029340302955,3.068323579779914,0.2668983551243471,0.32011900087396583,102.02442198493041,0.5369364349189689,100.67190808916267,0.4666964975032749,10.671908089162658,0.44553027196640954,1.850502603499438,1.9399710873771001,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.652489180268651
17,55bb9ae7fdf99b26d27fda01,grandma,3,5,1,at,left,3_5,4488,12,660,17,asking,0,120,147.29848706238238,0.6638475482924449,8.528948467592945,2.7482045789059484,4.193323579779914,0,1.4451190008739658,NA,0.5959872799183211,123.84836212485872,0.6689406163257778,33.84836212485873,0.6406493335608096,5.287752200983217,5.526934592881388,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.492239835020471
18,55bb9ae7fdf99b26d27fda01,broadway,1,5,1,at,right,1_5,4084,58,279,18,telling,1,120,147.29848706238238,0.6638475482924449,12.879789420209447,2.193323579779914,4.193323579779914,-0.5548809991260342,1.4451190008739658,NA,0.5279520118882184,134.35199254049047,0.5955073317603584,44.35199254049046,0.5824554645368865,6.955887846878829,6.936249734409623,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.631211781821365
19,55bb9ae7fdf99b26d27fda01,bronville,2,5,1,at,right,2_5,4662,6,311,19,telling,1,120,147.29848706238238,0.6638475482924449,10.568048484900695,2.4743972504579332,4.193323579779914,-0.27380732844801514,1.4451190008739658,NA,0.5954480616000872,126.33986794408658,0.6796440191294298,36.339867944086585,0.6598633087103907,5.752308382643535,5.871756753711868,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.739792912179234
20,55bb9ae7fdf99b26d27fda01,greenview,1,1,1,at,right,1_1,3041,62,582,20,telling,1,120,61.325523908511215,-1.5861524517075551,-2.2904072180527137,2.193323579779914,1.9433235797799142,-0.5548809991260342,-0.8048809991260342,61.325523908511215,0.4617737310887908,78.15900252769963,0.5868685573442797,-11.840997472300375,0.6114976198699791,-3.0251049263013314,-2.442155349886587,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.366470447731438
21,55bb9ae7fdf99b26d27fda01,bronville,5,2,1,at,right,5_2,3223,8,914,21,telling,1,120,81.1346582583131,-1.0236524517075551,-5.269359565056132,3.2754239691411797,2.505823579779914,0.5272193902352313,-0.24238099912603417,81.1346582583131,0.5581371639040384,84.9136707173418,0.47776908783829275,-5.086329282658209,0.4656956653837977,-1.1018871276243407,-1.0071379389788189,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.81783057145415
22,55bb9ae7fdf99b26d27fda01,greenview,2,4,1,at,right,2_4,3851,76,466,22,telling,1,120,124.05699442806409,0.10134754829244486,7.595174071904597,2.4743972504579332,3.630823579779914,-0.27380732844801514,0.8826190008739658,NA,0.5602589111687518,117.30754975036697,0.6118848893160042,27.307549750366977,0.5928502847088185,4.512595745813522,4.5875875156926735,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.1441856341256456
23,55bb9ae7fdf99b26d27fda01,grandma,1,2,1,at,right,1_2,3934,26,2079,23,telling,1,120,81.1346582583131,-1.0236524517075551,2.5555607939001854,2.193323579779914,2.505823579779914,-0.5548809991260342,-0.24238099912603417,81.1346582583131,0.5173167969099325,91.04252696720117,0.47511370129082114,1.0425269672011597,0.4770469615335648,0.0565428925158606,0.19938720067246796,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,7.639642287858013
24,55bb9ae7fdf99b26d27fda01,branning,2,1,1,at,right,2_1,3957,66,1723,24,telling,1,120,61.325523908511215,-1.5861524517075551,-4.602148153361464,2.4743972504579332,1.9433235797799142,-0.27380732844801514,-0.8048809991260342,61.325523908511215,0.4600189817069966,76.13312038242321,0.592974961935015,-13.866879617576789,0.6175135342939572,-3.4529546452941022,-2.896809502947373,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,7.45182223652793
25,55bb9ae7fdf99b26d27fda01,broadway,5,4,1,at,right,5_4,4674,68,1042,25,telling,1,120,124.05699442806409,0.10134754829244486,2.0819946482570297,3.2754239691411797,3.630823579779914,0.5272193902352313,0.8826190008739658,NA,0.6015984876976557,108.4580512454237,0.6180034909719092,18.458051245423707,0.5902607211106956,2.9313543835920504,3.2296829647330463,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.948897222313312
26,55bb9ae7fdf99b26d27fda01,grandma,2,3,2,at,right,2_3,4605,68,190,26,telling,1,120,102.02442198493041,-0.46115245170755514,4.210111583741802,2.4743972504579332,3.068323579779914,-0.27380732844801514,0.32011900087396583,102.02442198493041,0.5528217441777695,103.80148405026168,0.5265279477687906,13.801484050261681,0.5184312478626689,2.4473143927473515,2.469961962065583,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.247024072160486
27,55bb9ae7fdf99b26d27fda01,greenview,5,3,2,at,right,5_3,3609,44,864,27,telling,1,120,102.02442198493041,-0.46115245170755514,-1.3030678399057682,3.2754239691411797,3.068323579779914,0.5272193902352313,0.32011900087396583,102.02442198493041,0.5578562996759582,96.46601620112109,0.48312158469492705,6.466016201121091,0.46218295178865093,1.0438232288479576,1.2011494392657556,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.761572768804055
28,55bb9ae7fdf99b26d27fda01,branning,4,2,2,at,right,4_2,3643,72,374,28,telling,1,120,81.1346582583131,-1.0236524517075551,-3.6193172800569147,3.0151029340302955,2.505823579779914,0.2668983551243471,-0.24238099912603417,81.1346582583131,0.5116117711131918,87.54523721447434,0.4300943087959051,-2.454762785525658,0.41802043755250257,-0.621051457211624,-0.47875570329999834,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.924255797414532
29,55bb9ae7fdf99b26d27fda01,broadway,2,2,2,at,right,2_2,3660,40,583,29,telling,1,120,81.1346582583131,-1.0236524517075551,0.24381985859143213,2.4743972504579332,2.505823579779914,-0.27380732844801514,-0.24238099912603417,81.1346582583131,0.4601899211035725,86.44112852874714,0.38643994536583626,-3.5588714712528606,0.4014271303637657,-0.7561983099172672,-0.6984851288842389,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.368187186350492
30,55bb9ae7fdf99b26d27fda01,bronville,4,5,2,at,left,4_5,3928,22,2111,30,asking,0,120,147.29848706238238,0.6638475482924449,6.704911346252346,3.0151029340302955,4.193323579779914,0.2668983551243471,1.4451190008739658,NA,0.6106822533192271,119.92102994758355,0.6697839887533554,29.921029947583552,0.6377317550486497,4.639198788481459,4.969053270636227,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,7.65491704784832
31,55bb9ae7fdf99b26d27fda01,grandma,1,4,2,at,right,1_4,3027,44,742,31,telling,1,120,124.05699442806409,0.10134754829244486,9.906915007213346,2.193323579779914,3.630823579779914,-0.5548809991260342,0.8826190008739658,NA,0.5627772111867904,119.42337796089076,0.6144353302272161,29.423377960890754,0.6025980601587039,4.894759081849458,4.897060503975579,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.60934924316738
32,55bb9ae7fdf99b26d27fda01,broadway,5,5,2,at,left,5_5,4331,58,664,32,asking,0,120,147.29848706238238,0.6638475482924449,5.054869061253128,3.2754239691411797,4.193323579779914,0.5272193902352313,1.4451190008739658,NA,0.6141562748197696,115.86278350577601,0.6621456088391308,25.862783505775997,0.62744265163531,3.917612899115333,4.373043882202094,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.498282149476434
