uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
16,56ee27ad65ca4d000cc39dd3,bronville,3,1,1,ta,left,3_1,3320,66,462,16,telling,1,90,61.325523908511215,-0.8048809991260342,-6.641248170669213,2.7482045789059484,1.9433235797799142,0,-0.8048809991260342,0.4924938461403502,72.0934637757233,0.811598613570379,-17.90653622427671,0.8106404790768291,-4.051828279005603,-3.8406784247915535,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.135564891081739
17,56ee27ad65ca4d000cc39dd3,greenview,4,4,1,ta,right,4_4,4878,76,439,17,asking,0,100,124.05699442806409,0.6157206457496187,3.7320369332562473,3.0151029340302955,3.630823579779914,0.2668983551243471,0.8826190008739658,0.5254135517493285,108.09118870993166,0.703227931334714,18.09118870993167,0.691011815151556,3.129819632539421,3.171024202363646,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.0844994130751715
18,56ee27ad65ca4d000cc39dd3,grandma,5,2,1,ta,left,5_2,4787,68,3788,18,telling,1,110,81.1346582583131,-0.7696003893612655,-5.269359565056132,3.2754239691411797,2.505823579779914,0.5272193902352313,-0.24238099912603417,0.5113769536042805,90.1766598348595,0.5263932645800922,0.17665983485951586,0.532787990318984,-0.054781285879925756,0.033948861023094384,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,8.239593454305968
19,56ee27ad65ca4d000cc39dd3,branning,3,2,1,ta,left,3_2,4452,12,1446,19,telling,1,90,81.1346582583131,-0.24238099912603417,-1.7952801587163143,2.7482045789059484,2.505823579779914,0,-0.24238099912603417,0.4873570505814817,84.07043735851867,0.7899744777246149,-5.929562641481331,0.7881899295546089,-1.1813408653778568,-1.1799170761008737,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.27655640271871
20,56ee27ad65ca4d000cc39dd3,broadway,1,1,1,ta,left,1_1,3955,70,526,20,telling,1,70,61.325523908511215,-0.25,-2.2904072180527137,2.193323579779914,1.9433235797799142,-0.5548809991260342,-0.8048809991260342,0.46698638179187085,65.04232541875815,0.6129243903392438,-24.957674581241843,0.6262883176747347,-5.630445197402805,-5.622553959692432,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.26530121273771
21,56ee27ad65ca4d000cc39dd3,bronville,3,5,1,ta,right,3_5,4058,74,766,21,asking,0,90,147.29848706238238,1.4451190008739658,8.528948467592945,2.7482045789059484,4.193323579779914,0,1.4451190008739658,0.5753741817954893,110.50157461147577,0.8579499701876526,20.501574611475778,0.8455463937097427,3.373503731909236,3.5528402537165,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.641182169740591
22,56ee27ad65ca4d000cc39dd3,broadway,1,5,1,ta,right,1_5,3992,50,638,22,asking,0,70,147.29848706238238,2,12.879789420209447,2.193323579779914,4.193323579779914,-0.5548809991260342,1.4451190008739658,0.556380957277508,103.21297213000315,0.64657770838018,13.21297213000316,0.6152127436531083,1.9522412842661991,2.3715287764637836,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.45833828334479
23,56ee27ad65ca4d000cc39dd3,branning,4,2,1,ta,left,4_2,4899,20,1008,23,telling,1,100,81.1346582583131,-0.5092793542503813,-3.6193172800569147,3.0151029340302955,2.505823579779914,0.2668983551243471,-0.24238099912603417,0.4809062422667079,86.77738224906919,0.5589691213852361,-3.2226177509308074,0.5662808759255823,-0.6754882422029609,-0.6312712245095677,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.915723448631314
24,56ee27ad65ca4d000cc39dd3,greenview,2,3,1,ta,right,2_3,4311,18,842,24,asking,0,80,102.02442198493041,0.593926329321981,4.210111583741802,2.4743972504579332,3.068323579779914,-0.27380732844801514,0.32011900087396583,0.5360808779648776,89.12743721648776,0.5478972994645916,-0.8725627835122276,0.5442906061483804,-0.1973209658143277,-0.16866454101622663,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.7357800142423265
25,56ee27ad65ca4d000cc39dd3,grandma,2,4,1,ta,right,2_4,4427,54,364,25,asking,0,80,124.05699442806409,1.156426329321981,7.595174071904597,2.4743972504579332,3.630823579779914,-0.27380732844801514,0.8826190008739658,0.5622835316921867,97.53086119187884,0.7016208150722666,7.530861191878843,0.6882233199297677,1.2581804923112188,1.3912055313282323,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,5.8971538676367405
